name;DESCRIPTION;
1;SHIP GENERAL;
10;SPECIFICATION
109;MAINTENANCE SYSTEMS
109.001;INSTRUCTION MATERIAL;
109.001.01;Safety Management System Manual;
109.001.03;Standard Instruction Manual;
109.001.05;Emergency Response Manual;
109.001.07;Account Manual;
109.001.09;Organisation Manual;
109.001.11;Shipboard Procedure Manual;
109.001.13;Safety Manual;
109.001.15;Pollution Prevention Contingency Manual;
109.001.17;Safety Training Manual;
109.001.19;On-The-Job Training Manual;
109.001.21;Standard Forms Manual;
109.001.23;Circular Letter Manual;
109.001.25;Insurance Manual;
109.001.27;Cargo Securing Manual;
109.001.29;Document Control;
11;INSURANCE
111;GENERAL INSURANCE;
111.001;General Insurance;
111.011;Protection and Indemnity Insurance;
111.012;Insurance Hull;
111.013;Insurance Hull / Machinery / War;
111.021;Insurance - Wreck Removal;
112;CLASSIFICATION AND STATUTORY FEES AND CERTIFICATES;
112.001;CERTIFICATES;
112.001.01;Bunker CLC - Renewal;
112.001.06;Certificate of Registry (P and I);
112.001.07;Insurance Certificate - H and M;
112.001.08;Certificate of Entry (P and I);
112.001.09;Insurance Certificate - War Risk;
112.001.11;Collective Agreement (White Certificate);
112.001.41;Energy Efficient Certificate;
112.001.51;Safe Manning Annual;
112.003;HULL SURVEY;
112.003.01;Hull Survey;
112.003.11;Hull Survey - Annual;
112.003.31;Hull Survey - Intermediate;
112.003.51;Hull Survey - Renewal;
112.003.61;Hull Survey - Special;
112.003.71;Hull Survey - Docking;
112.005;MACHINERY SURVEY;
112.005.11;Continuous Machinery Survey (CMS) - Annual;
112.005.12;E0 Class Survey;
112.005.21;Propeller Shaft Survey;
112.005.61;Tail Shaft Survey;
112.005.90;PMS Machinery Survey;
112.005.91;EOPMS Machinery Survey;
112.007;LOAD LINE SURVEY;
112.007.01;Load Line Certificate;
112.007.11;Load Line Survey - Annual;
112.007.31;Load Line Survey - Periodical / Intermediate;
112.007.51;Load Line Survey - Renewal;
112.009;ANTI-FOULING SYSTEM;
112.009.01;Anti-Fouling System Compliance (AFS);
112.009.11;Anti-Fouling System Compliance (AFS) Annual;
112.009.31;Anti-Fouling System Compliance (AFS) Periodical / Intermediate;
112.010;CERTIFICATE OF CLASSIFICATION;
112.010.01;Certificate of Classification;
112.010.11;Certificate of Classification - Annual;
112.010.31;Certificate of Classification - Periodical/ Intermediate;
112.010.51;Certificate of Classification - Renewal;
112.013;STEAM PIPES SURVEY;
112.015;LIFTING APPLIANCES CERTIFICATION;
112.015.11;Lifting Appliances Certification - Annual;
112.015.31;Lifting Appliances Certification - Periodical / Intermediate;
112.015.41;Lifting Appliances Certification - Quadrennial;
112.015.51;Lifting Appliances Certification - Renewal;
112.017;CARGO SHIP SAFETY CONSTRUCTION;
112.017.01;Safety Construction Certificate;
112.017.11;Safety Construction - Annual;
112.017.31;Safety Construction - Periodical/ Intermediate;
112.017.51;Safety Construction - Renewal;
112.019;CARGO SHIP SAFETY EQUIPMENT;
112.019.01;Safety Equipment Certificate;
112.019.11;Safety Equipment - Annual;
112.019.31;Safety Equipment - Periodical/ Intermediate;
112.019.51;Safety Equipment - Renewal;
112.021;CERTIFICATE - SAFETY RADIO;
112.021.01;Safety Radio Certificate;
112.021.06;Safety Radio Station License;
112.021.11;Safety Radio - Annual;
112.021.31;Safety Radio - Periodical/ Intermediate;
112.021.51;Safety Radio - Renewal;
112.023;MARITIME LABOUR CONVENTION (MLC);
112.023.01;Maritime Labour Convention (MLC);
112.023.11;Maritime Labour Convention (MLC) - Annual;
112.023.31;Maritime Labour Convention (MLC) - Intermediate;
112.023.51;Maritime Labour Convention (MLC) - Renewal;
